,Pitcher,Batter,BatterTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide
44,Matthew  Dalquist,Jedier  Hernandez,Mizzou 2024,Slider,Foul,,83.22826464645914,4.720725982483295,-7.030626716389016,3.534422014065042,-0.3879836528250586
45,Matthew  Dalquist,Jedier  Hernandez,Mizzou 2024,Fastball,Foul,,90.79499324777848,,,2.7626673025614177,0.4335161933191118
46,Matthew  Dalquist,Jedier  Hernandez,Mizzou 2024,Fastball,Foul,,90.02959767667507,19.693810179329716,10.947458551338862,3.282005882301084,0.1742429192310361
47,Matthew  Dalquist,Jedier  Hernandez,Mizzou 2024,Curveball,Foul,,76.11500305172824,-7.546658576202965,-15.170786091395712,1.537935195087914,-0.9235612122736588
48,Matthew  Dalquist,Jedier  Hernandez,Mizzou 2024,Fastball,InPlay,Out,89.98758415346478,20.06085698622216,10.594105454645224,2.8727326648671614,0.5655035721727791
67,Matthew  Dalquist,Drew  Culbertson,Mizzou 2024,Fastball,BallCalled,,87.73631991651712,18.4877692485114,12.76696348915034,3.703940381036424,0.9350675473699388
68,Matthew  Dalquist,Drew  Culbertson,Mizzou 2024,Fastball,Foul,,87.57894043679227,19.41601331004829,11.913136150078524,3.383861965513138,0.4995875296104682
69,Matthew  Dalquist,Drew  Culbertson,Mizzou 2024,Slider,StrikeCalled,,80.67558839860992,6.937328654155216,-4.70549768852315,2.1575488186334923,-0.6953294753371139
70,Matthew  Dalquist,Drew  Culbertson,Mizzou 2024,Curveball,InPlay,Single,72.682322796018,-8.136230074670308,-14.860174616343835,2.5217525349002354,0.5417922724526574
71,Matthew  Dalquist,Tucker  Moore,Mizzou 2024,Changeup,BallCalled,,82.67157164008997,10.025723108454226,18.21285927639756,0.5649378115630791,-0.1640761734831298
72,Matthew  Dalquist,Tucker  Moore,Mizzou 2024,Fastball,BallCalled,,87.64802932661816,19.60390883132894,11.622630951373376,2.398781690949308,-1.2232996547047907
73,Matthew  Dalquist,Tucker  Moore,Mizzou 2024,Slider,StrikeCalled,,80.29161063498479,4.20118479837948,-4.432212097559826,1.85762807030616,0.174155639781763
74,Matthew  Dalquist,Tucker  Moore,Mizzou 2024,Slider,InPlay,Single,81.60078598696708,5.148942798668955,-5.985051648512296,2.330124273278381,0.4071299718358795
75,Matthew  Dalquist,Trevor  Austin,Mizzou 2024,Fastball,BallCalled,,87.62397391727019,20.65436242412457,11.887352075236151,0.7057879966007226,-0.0698232956322945
76,Matthew  Dalquist,Trevor  Austin,Mizzou 2024,Fastball,StrikeCalled,,86.99354268650653,19.603559026943024,11.030675795283226,1.8440355233503736,-0.5862844898165018
77,Matthew  Dalquist,Trevor  Austin,Mizzou 2024,Curveball,StrikeCalled,,73.91182994070883,-6.006002429760876,-14.94664327323403,2.2064563531843224,1.126420127881336
